id;content_object_id;tag_id
67;60;25
68;60;26
69;60;27
70;60;28
71;60;29
72;60;30
232;82;57
233;82;26
234;82;55
235;77;57
236;77;26
237;77;55
79;62;37
80;62;21
81;62;20
82;62;19
83;62;38
84;62;39
85;62;40
86;62;41
87;62;42
238;84;57
239;84;26
240;84;55
241;75;57
242;75;26
243;75;55
244;79;57
245;79;26
246;79;55
247;81;57
248;81;26
99;73;52
249;81;55
250;76;57
251;76;26
252;76;55
253;83;26
254;83;55
255;86;88
256;86;89
257;86;90
258;87;88
259;87;89
260;87;90
261;88;88
262;88;89
263;88;90
264;89;88
265;89;89
266;89;90
59;57;18
60;57;19
61;57;20
62;57;21
267;90;88
268;90;89
269;90;90
270;91;88
271;91;89
272;91;90
273;92;91
275;92;90
276;93;93
277;93;94
278;93;95
279;93;96
280;93;97
281;93;98
282;94;93
283;94;94
284;94;95
285;94;96
286;94;97
287;94;98
288;95;29
289;95;99
290;95;100
291;96;29
292;96;99
293;96;100
294;97;29
295;97;99
296;97;100
145;75;59
148;75;62
149;76;64
150;76;65
151;76;66
152;76;67
156;80;69
157;80;71
158;80;72
159;80;73
297;98;29
298;98;99
299;98;100
163;77;65
164;77;69
165;77;74
169;78;65
170;78;66
171;78;69
172;78;75
300;99;29
301;99;99
302;99;100
176;79;64
177;79;71
178;79;76
179;79;77
183;81;69
184;81;78
185;81;79
186;81;80
190;82;69
191;82;71
192;82;81
193;82;82
197;83;64
198;83;29
303;100;29
202;85;69
203;85;78
204;85;84
304;100;99
305;100;100
306;101;29
208;84;69
209;84;78
210;84;79
211;84;86
212;84;87
216;73;50
217;61;32
218;61;33
219;61;34
220;61;35
221;61;31
222;85;57
223;85;26
224;85;55
225;83;57
226;80;57
227;80;26
228;80;55
229;78;57
230;78;26
231;78;55
307;101;99
308;101;100
309;102;29
310;102;99
311;102;100
312;103;29
313;103;99
314;103;100
315;104;29
316;104;99
317;104;100
318;105;101
319;105;102
320;105;103
321;105;104
322;105;105
323;106;101
324;106;102
325;106;103
326;106;104
327;106;105
328;107;101
329;107;102
330;107;103
331;107;104
332;107;105
333;108;101
334;108;102
335;108;103
336;108;104
337;108;105
338;109;101
339;109;102
340;109;103
341;109;104
342;109;105
343;110;101
344;110;102
345;110;103
346;110;104
347;110;105
348;111;101
349;111;102
350;111;103
351;111;104
352;111;105
353;112;101
354;112;102
355;112;103
356;112;104
357;112;105
358;113;101
359;113;102
360;113;103
361;113;104
362;113;105
363;114;101
364;114;102
365;114;103
366;114;104
367;114;105
368;115;101
369;115;102
370;115;103
371;115;104
372;115;105
373;116;101
374;116;102
375;116;103
376;116;104
377;116;105
378;117;107
1183;257;141
380;117;105
381;117;110
382;117;104
383;117;102
384;118;29
385;118;22
386;118;67
387;118;111
388;118;112
389;118;113
390;118;115
391;119;116
392;119;117
393;119;118
394;119;104
395;120;116
396;120;117
397;120;118
398;120;104
399;121;116
400;121;117
401;121;118
402;121;104
403;122;116
404;122;117
405;122;118
406;122;104
407;123;116
408;123;117
409;123;118
410;123;104
411;120;29
412;120;119
413;119;120
414;119;121
415;119;29
416;123;122
417;123;124
418;123;29
419;123;30
420;121;121
421;121;29
422;121;30
423;124;125
424;124;126
425;124;127
426;124;128
427;124;13
428;125;129
429;125;130
430;125;131
431;125;132
432;125;133
433;126;129
434;126;130
435;126;131
436;126;132
437;126;133
1184;257;143
1185;257;145
1186;257;147
1187;257;149
1189;257;151
1190;258;141
1191;258;143
1192;258;145
1193;258;147
1194;258;149
1195;258;98
1196;258;151
1197;259;141
1198;259;143
1199;259;145
1200;259;147
1201;259;149
1202;259;98
1203;259;151
1204;260;141
1205;260;143
1206;260;145
1207;260;147
1208;260;149
1209;260;98
1210;260;151
1211;261;141
1212;261;143
1213;261;145
1214;261;147
1215;261;149
1216;261;98
1217;261;151
1218;262;141
1219;262;143
1220;262;145
1221;262;147
1222;262;149
1223;262;98
1224;262;151
1225;263;141
1226;263;143
1227;263;145
1228;263;147
1229;263;149
1230;263;98
1231;263;151
1232;264;141
1233;264;143
1234;264;145
1235;264;147
1236;264;149
1237;264;98
1238;264;151
1239;265;141
1240;265;143
1241;265;145
1242;265;147
1243;265;149
1244;265;98
1245;265;151
1246;266;141
1247;266;143
1248;266;145
1249;266;147
1250;266;149
1251;266;98
1252;266;151
1253;267;141
1254;267;143
1255;267;145
1256;267;147
1257;267;149
1258;267;98
1259;267;151
1260;268;141
1261;268;143
1262;268;145
1263;268;147
1264;268;149
1265;268;98
1266;268;151
1267;269;141
